second,quic,tcp,orbit,pep,iw,loss
3.0,1178.3358661616467,827.301566683438,leo,0,"10,10,10,10",10^0
4.0,930.9798175706461,623.291734040969,leo,0,"10,10,10,10",10^0
5.0,739.2771630167441,517.963855973214,leo,0,"10,10,10,10",10^0
6.0,697.2101758925047,426.42019367053445,leo,0,"10,10,10,10",10^0
7.0,610.225975646878,441.35958351657814,leo,0,"10,10,10,10",10^0
8.0,579.7952667786298,416.5867968874641,leo,0,"10,10,10,10",10^0
9.0,561.2794641093717,355.7128201750013,leo,0,"10,10,10,10",10^0
10.0,492.7634049472649,321.20952272110185,leo,0,"10,10,10,10",10^0
11.0,465.3142505899072,287.3773136624745,leo,0,"10,10,10,10",10^0
12.0,448.72866702823296,301.1795065223008,leo,0,"10,10,10,10",10^0
13.0,489.6308971483015,280.70230150259965,leo,0,"10,10,10,10",10^0
14.0,563.783237237608,327.1999529180598,leo,0,"10,10,10,10",10^0
15.0,542.3591760837542,323.4630595781534,leo,0,"10,10,10,10",10^0
16.0,518.8106921589447,330.7142603369961,leo,0,"10,10,10,10",10^0
17.0,531.5972515458088,325.73738581332367,leo,0,"10,10,10,10",10^0
18.0,576.8661486003754,297.56139901255864,leo,0,"10,10,10,10",10^0
19.0,559.0342112089481,251.50747464585575,leo,0,"10,10,10,10",10^0
20.0,609.8342223741462,262.71883411554325,leo,0,"10,10,10,10",10^0
21.0,534.720852336392,288.2509435796522,leo,0,"10,10,10,10",10^0
22.0,540.8575169702998,340.0450993295622,leo,0,"10,10,10,10",10^0
23.0,514.3565107229772,235.85154298230128,leo,0,"10,10,10,10",10^0
24.0,482.8600467708287,223.36977374344085,leo,0,"10,10,10,10",10^0
25.0,485.3621887578841,264.4215746177334,leo,0,"10,10,10,10",10^0
26.0,437.1145709830063,209.36828903551566,leo,0,"10,10,10,10",10^0
27.0,463.91931405903944,161.08114419270697,leo,0,"10,10,10,10",10^0
28.0,435.56600486110653,140.05564563066523,leo,0,"10,10,10,10",10^0
29.0,431.6526206561774,191.79365398189898,leo,0,"10,10,10,10",10^0
30.0,482.88896713182237,181.25683898766968,leo,0,"10,10,10,10",10^0
1.0,3632.8018190885955,1319.7379093590598,geo,1,"10,100,100,10",10^-02
2.0,7060.914345630997,3479.1493428561034,geo,1,"10,100,100,10",10^-02
3.0,9697.412256758636,5583.319666898668,geo,1,"10,100,100,10",10^-02
4.0,14342.537634998134,9355.0917282336,geo,1,"10,100,100,10",10^-02
5.0,16110.86624730243,14439.22279544448,geo,1,"10,100,100,10",10^-02
6.0,14837.389474190248,14694.3760708711,geo,1,"10,100,100,10",10^-02
7.0,15202.291187852958,13918.533013870101,geo,1,"10,100,100,10",10^-02
8.0,17903.274617914587,13021.525495055059,geo,1,"10,100,100,10",10^-02
9.0,16764.02966926025,13259.696807080863,geo,1,"10,100,100,10",10^-02
10.0,13605.277352072373,13051.232574591579,geo,1,"10,100,100,10",10^-02
11.0,15013.126089942636,11930.442805880428,geo,1,"10,100,100,10",10^-02
12.0,13735.283866281621,12140.066840631534,geo,1,"10,100,100,10",10^-02
13.0,15652.669394873836,11963.373039398033,geo,1,"10,100,100,10",10^-02
14.0,15247.798296887035,11805.824449729245,geo,1,"10,100,100,10",10^-02
15.0,15013.239457958156,11256.816418437405,geo,1,"10,100,100,10",10^-02
16.0,14400.31045649098,10773.251477870583,geo,1,"10,100,100,10",10^-02
17.0,15658.783134959549,11092.95382922031,geo,1,"10,100,100,10",10^-02
18.0,15586.913492053236,10765.956738353736,geo,1,"10,100,100,10",10^-02
19.0,15777.843761525392,10373.470812022211,geo,1,"10,100,100,10",10^-02
20.0,13251.517581642926,9866.062380341813,geo,1,"10,100,100,10",10^-02
21.0,15702.978071747179,9354.682338471797,geo,1,"10,100,100,10",10^-02
22.0,13913.57705788012,9737.729582135951,geo,1,"10,100,100,10",10^-02
